# Source: David Robbins, Lyme Planning and Zoning - 6Apr2021,,
# Mapping between Vision ID and the tax map/lot number,,
# VisionID,TaxMap,Lot
# Updated 21 Nov 2021 with results from the Old vs. New PDF from town website
627,406,24
633,406,30
634,406,31
635,406,32
637,406,34
638,406,35
645,407,6
647,407,8
650,407,11
651,407,12
652,407,13
654,407,15
655,407,16
# 656,407,17 Substitute with -reb
103057,407,17
664,407,20
667,407,21
675,407,23
686,407,26
688,407,28
1469,421,1
1471,421,3
1472,421,4
1473,421,5
1475,421,7
1477,421,9
101182,402,1.2
1484,421,16
1485,421,17
1486,421,18
1488,421,20
1489,421,21
292,402,1.1
505,404,30
83,201,57
171,201,122
1099,410,36
100184,401,55.701
194,401,9
100202,422,1
100222,407,56.2
# 100242,407,56.3 Only 407/56/1000 & 407/56/2000 -reb
100262,407,53.1
1243,414,25
1046,409,91
1069,410,10.2
1071,410,12
1076,410,13.2
1079,410,16
978,409,31
100422,401,55.201
100442,401,55.202
1199,413,26
100463,401,55.204
1196,413,23
100482,401,55.401
1200,413,27
100522,401,55.501
100523,401,55.502
1214,414,8
1229,414,16
100602,405,48
100662,417,6.2
100722,401,58
659,407,19
100742,402,44
1100,410,37
100263,404,50
1169,413,5
1103,410,40
1120,410,57
653,407,14
673,407,22
389,402,91
433,403,16
439,403,22
449,403,32
489,404,14
491,404,16
511,404,36
335,402,41
337,402,43
347,402,52
350,402,55
379,402,81
383,401,79
208,401,19
222,401,26
102691,415,10
1061,410,6
1064,410,9.1
1068,410,10.1
325,402,31
795,407,104
796,407,106
797,407,107
798,407,108
801,407,111
334,402,40
336,402,42
339,402,45
340,402,46
341,402,47
343,402,48
344,402,49
345,402,50
346,402,51
355,402,57
348,402,53
349,402,54
100542,401,55.601
351,402,56
100543,401,55.801
100562,401,55.901
100563,401,55.902
1127,410,64
1129,410,66
1131,410,68
1132,410,69
1133,410,70
1137,410,74
1138,410,75
1140,410,77
1141,410,78
1142,410,79
1144,410,80
1149,411,4
1150,411,5
850,408,13
851,408,14
852,408,15
853,408,16
# 854,408,17 No longer exists -reb
855,408,18
858,408,21
860,408,23
861,408,24
862,408,25
863,408,26
864,408,27
865,408,28
867,408,29
868,408,30
869,408,31
871,408,33
872,408,34
873,408,35
874,408,36
876,408,38
878,408,40
879,408,41
880,408,42
100265,407,53.2
100302,409,81
959,409,12.2
326,402,32
327,402,33
328,402,34
329,402,35
330,402,36
331,402,37
333,402,39
1151,411,6
1152,411,7
1154,411,9
1155,411,10
1156,411,11
1157,411,12
1158,411,13
1163,412,2
1164,412,3
1166,413,2
1167,413,3
1170,413,6
1173,413,9
1177,413,10
954,409,10
955,409,11
958,409,12.1
782,407,96.11
783,407,96.12
784,407,96.2
786,407,98
788,407,100
789,407,101
792,407,102.1
793,407,102.2
363,402,65
364,402,66
365,402,67
368,402,70
369,402,71
370,402,72
371,402,73
372,402,74.1
375,402,77
376,402,78
966,409,19
967,409,20
968,409,21
971,409,24
972,409,25
973,409,26
974,409,27
975,409,28
976,409,29
979,409,32
981,409,34
982,409,35
984,409,37
986,409,39
987,409,40
990,409,43
991,409,44
992,409,45
993,409,46
994,409,47
995,409,48
996,409,49
997,409,50
998,409,51
1002,409,53.1
1003,409,53.2
1004,409,54
1005,409,55
1006,409,56
1009,409,57
102692,414,9.2
1015,409,60
1016,409,61
1018,409,63
1020,409,65
1023,409,68
1024,409,69
1025,409,70
1026,409,71
1027,409,72
1028,409,73
1030,409,75
1031,409,76
1033,409,78
1034,409,79
1035,409,80
1037,409,82
1039,409,84
1040,409,85
1041,409,86
1042,409,87
1043,409,88
1045,409,90
1048,409,93
1423,419,1
1435,419,7
1436,419,8
1437,419,9
1438,420,1
1439,420,2
1440,420,3
1441,420,4
1442,420,5
1443,420,6
1446,420,7.1
1447,420,7.2
1449,420,9
1450,420,10
1451,420,11
1455,420,15
1456,420,16
1457,420,17
101224,411,1
101242,409,23.2
1464,420,24
1466,420,26
1468,420,28
888,408,47.2
891,408,48.2
892,408,48.1
897,408,52
101442,408,75.3
101462,402,74.2
101483,410,71
900,408,55
901,408,56
907,408,57.1
908,408,57.2
909,408,57.3
910,408,57.4
911,408,58
912,408,59
913,408,60
915,408,61.1
916,408,61.2
917,408,62
923,408,66
924,408,67
925,408,68
935,408,70.2
940,408,71.2
941,408,72
942,408,73
943,408,74
944,408,75.1
947,409,3
949,409,5
952,409,8
953,409,9
1123,410,60
1125,410,62
1251,414,29
1255,414,30.1
1256,414,30.2
1097,410,34
983,409,36
1022,409,67
1038,409,83
1265,414,34
1266,414,35
1267,414,36
1268,414,37
1269,414,38
1270,414,39
1271,414,40
1272,414,41
1274,414,43
1282,414,45
1291,414,50
1292,414,51
1299,414,54
1250,414,28
1257,414,31
1302,414,57
1304,414,58
1305,414,58
1309,414,61
1311,414,61
1312,414,66
1313,414,62
1323,414,64
1325,415,1
1326,415,2
1327,415,3
1332,415,8
1333,415,9
1336,415,12
1337,415,13
1375,416,12
1235,414,22
951,409,7
920,408,64.1
711,407,51
1118,410,55
1119,410,56
800,407,110
816,407,124
832,407,136
767,407,86.1
833,407,137
737,407,60.4
739,407,40.6
752,407,72
756,407,76.3
764,407,83
736,407,60.3
101282,409,77
101325,403,1
101342,405,38.2
101362,407,76.1
1186,413,11
1188,413,14
1189,413,15
1190,413,16
1191,413,17
1193,413,20
# 1194,413,21 No longer exists -reb
1195,413,22
1197,413,24
1198,413,25
1201,413,28
1202,413,29
1203,413,30
1204,413,31
1206,413,33
1207,414,1
1338,415,14
1342,415,17
1343,415,18
1352,415,20.1
1353,415,20.2
1354,415,20.3
1355,415,21
1356,415,22
1358,415,24
1360,415,26
1361,415,27
1362,415,28
1364,416,1
1365,416,2
1366,416,3
1367,416,4
1373,416,10
1171,413,7
1374,416,11
1379,416,14
1382,416,16
1187,413,13
1384,416,18
1385,416,19
1386,416,20
1388,416,22
1389,416,23
