PID,Street Address,MBLU,Assessment,Appraisal,Lot Size (acres),
123	30 PLEASANT ST	201/  86/  /  / 	$226,100	$226,100	0.69	
125	24 PLEASANT ST	201/  88/  /  / 	$346,700	$346,700	2.3	
127	16 PLEASANT ST	201/  90/  /  / 	$377,200	$377,200	0.9	
128	12+14 PLEASANT ST	201/  91/  /  / 	$527,600	$527,600	0.8	
129	10 PLEASANT ST	201/  92/  /  / 	$295,300	$295,300	1.3	
132	6 JOHN THOMSON WY (L/O)	201/  93/  100/  / 	$33,700	$33,700	0.16	
133	6 JOHN THOMSON WY(HORSESHD)	201/  93/  200/  / 	$38,500	$38,500	0	
136	2 PLEASANT ST (JAILHOUSE)	201/  94/  100/  / 	$23,100	$23,100	0.07	
137	4 JOHN THOMSON WY	201/  94/  200/  / 	$197,000	$197,000	1.85	
